Year,Region,Communications Services Indicator,Value
2016,Riyadh,Subscribers of broadband services,885870
2016,Makkah,Fixed operating telephone lines,960176
2016,Makkah,percentage of  population  using internet,86.75
2016,Al-Qaseem,Fixed operating telephone lines,154126
2016,Al-Qaseem,percentage of  population  using internet,95.91
2016,Al-Qaseem,Subscribers of broadband services,101899
2016,Tabouk,percentage of  population  using internet,100
2016,Northern Borders,percentage of  population  using internet,93.66
2016,Al-Baha,Fixed operating telephone lines,35215
2016,Al-Baha,percentage of  population  using internet,100
2015,Riyadh,percentage of  population  using internet,93
2015,Riyadh,Subscribers of broadband services,1075280
2015,Eastern,Subscribers of broadband services,539051
2015,Aseer,percentage of  population  using internet,85
2015,Hail,Fixed operating telephone lines,41628
2015,Al-Baha,Fixed operating telephone lines,36565
2015,Northern Borders,Subscribers of broadband services,67580
2015,Jazan,percentage of  population  using internet,90
2015,Total,Subscribers of broadband services,3488191
2014,Riyadh,percentage of  population  using internet,97
2014,Makkah,Fixed operating telephone lines,960451
2014,Makkah,percentage of  population  using internet,80
2014,Madinah,Subscribers of broadband services,218376
2014,Al-Qaseem,Fixed operating telephone lines,149092
2014,Al-Qaseem,percentage of  population  using internet,94
2014,Al-Qaseem,Subscribers of broadband services,136485
2014,Tabouk,Fixed operating telephone lines,41480
2014,Al-Jouf,Subscribers of broadband services,39429
2014,Najran,Fixed operating telephone lines,26284
2014,Najran,Subscribers of broadband services,57627
2013,Riyadh,Fixed operating telephone lines,1414374
2013,Al-Qaseem,Fixed operating telephone lines,183871
2013,Hail,Internet Users,335147
2013,Al-Baha,Fixed operating telephone lines,60798
2013,Najran,Fixed operating telephone lines,55551
2012,Riyadh,Internet Users,4056105
2012,Makkah,Fixed operating telephone lines,1324614
2012,Al-Qaseem,Internet Users,615736
2012,Aseer,Internet Users,1174524
2012,Al-Baha,Internet Users,246514
2012,Northern Borders,Subscribers of broadband services,17160
2012,Najran,Internet Users,302631
2012,Total,Internet Users,15809563
2012,Total,Fixed operating telephone lines,4801824
2012,Total,Subscribers of broadband services,2540907
2011,Makkah,Fixed operating telephone lines,1278086
2011,Madinah,Internet Users,891899
2011,Al-Qaseem,Subscribers of broadband services,68125
2011,Hail,Internet Users,275908
2011,Hail,Fixed operating telephone lines,71899
2011,Al-Baha,Internet Users,212061
2011,Jazan,Fixed operating telephone lines,103984
2010,Riyadh,Fixed operating telephone lines,1248100
2010,Makkah,Subscribers of broadband services,1301523
2010,Madinah,Subscribers of broadband services,255879
2010,Eastern,Internet Users,1817000
2010,Al-Baha,Internet Users,177000
2010,Northern Borders,Fixed operating telephone lines,28613
2010,Northern Borders,Subscribers of broadband services,30381
2010,Al-Jouf,Internet Users,190000
2010,Total,Internet Users,11393000
2010,Total,Fixed operating telephone lines,4165014
2009,Riyadh,Internet Users,2434730
2009,Madinah,Fixed operating telephone lines,253271
2009,Eastern,Subscribers of broadband services,506820
2009,Aseer,Fixed operating telephone lines,202546
2009,Tabouk,Internet Users,300396
2009,Al-Baha,Internet Users,156728
2009,Al-Baha,Subscribers of broadband services,20606
2009,Al-Jouf,Subscribers of broadband services,27850
2009,Najran,Fixed operating telephone lines,48540
2008,Riyadh,Subscribers of broadband services,431465
2008,Tabouk,Internet Users,276000
2008,Al-Baha,Fixed operating telephone lines,53125
2008,Al-Baha,Subscribers of broadband services,9974
2008,Al-Jouf,Fixed operating telephone lines,46302
2008,Najran,Subscribers of broadband services,10826
2008,Total,Mobile Phone Lines*,36900000
2015,Al-Qaseem,percentage of  population  using internet,81
2015,Al-Baha,percentage of  population  using internet,93
2015,Madinah,percentage of  population  using internet,89
2016,Jazan,percentage of  population  using internet,100
2016,Najran,Subscribers of broadband services,37548
2015,Eastern,Fixed operating telephone lines,752499
2016,Hail,Subscribers of broadband services,103099
2015,Makkah,Fixed operating telephone lines,957860
2016,Hail,Fixed operating telephone lines,41941
2008,Northern Borders,Fixed operating telephone lines,28317
2009,Makkah,Subscribers of broadband services,805942
2008,Eastern,Fixed operating telephone lines,726832
2009,Makkah,Fixed operating telephone lines,1147271
2008,Makkah,Fixed operating telephone lines,1137271
2009,Total,Mobile Phone Lines*,44800000
2009,Al-Qaseem,Internet Users,389644
2008,Al-Jouf,Internet Users,155000
2009,Najran,Internet Users,193734
2009,Aseer,Internet Users,753166
2012,Northern Borders,Fixed operating telephone lines,32982
2011,Al-Jouf,Subscribers of broadband services,19760
2011,Tabouk,Subscribers of broadband services,37258
2012,Al-Baha,Fixed operating telephone lines,61876
2011,Aseer,Subscribers of broadband services,53258
2011,Riyadh,Fixed operating telephone lines,1388881
2010,Makkah,Fixed operating telephone lines,1149100
2011,Aseer,Fixed operating telephone lines,227625
2010,Makkah,Internet Users,3060000
2011,Aseer,Internet Users,1010371
